Rank,Release Group,Worldwide,Domestic,%,Foreign,%
517,A Love Story,"$3,121,563",-,-,"$3,121,563",100%
518,Mother of Tears,"$3,119,957","$58,669",1.9%,"$3,061,288",98.1%
519,Illegal Tender,"$3,106,835","$3,106,835",100%,-,-
520,Amazon Jack,"$3,093,785",-,-,"$3,093,785",100%
521,Fuera del cielo,"$3,086,315",-,-,"$3,086,315",100%
522,My Son,"$3,084,761",-,-,"$3,084,761",100%
523,Provoked: A True Story,"$3,078,709","$761,740",24.7%,"$2,316,969",75.3%
524,Paragraf 78 - Film vtoroy,"$3,061,624",-,-,"$3,061,624",100%
525,The Gold of Valhalla,"$3,049,142",-,-,"$3,049,142",100%
526,The Witnesses,"$3,041,093","$78,440",2.6%,"$2,962,653",97.4%
527,Elias and the Royal Yacht,"$3,018,188",-,-,"$3,018,188",100%
528,Mind the Gap,"$3,015,008",-,-,"$3,015,008",100%
529,The Nautical Chart,"$3,008,383",-,-,"$3,008,383",100%
530,Temporary Release,"$2,968,181",-,-,"$2,968,181",100%
531,Love Songs,"$2,966,934","$104,567",3.5%,"$2,862,367",96.5%
532,Those Who Remain,"$2,955,081",-,-,"$2,955,081",100%
533,Shall We Kiss?,"$2,936,437","$535,499",18.2%,"$2,400,938",81.8%
534,M,"$2,929,249",-,-,"$2,929,249",100%
535,Margot at the Wedding,"$2,900,156","$1,959,420",67.6%,"$940,736",32.4%
536,Gympl,"$2,876,011",-,-,"$2,876,011",100%
537,Détrompez-vous,"$2,855,815",-,-,"$2,855,815",100%
538,The Key,"$2,855,655",-,-,"$2,855,655",100%
539,Rise: Blood Hunter,"$2,850,927","$114,306",4%,"$2,736,621",96%
540,The Bodyguard 2,"$2,849,046",-,-,"$2,849,046",100%
541,Angel,"$2,835,903",-,-,"$2,835,903",100%
542,Island of Lost Souls,"$2,823,656",-,-,"$2,823,656",100%
543,Medvídek,"$2,817,885",-,-,"$2,817,885",100%
544,Steak,"$2,814,057",-,-,"$2,814,057",100%
545,The Zone,"$2,795,399",-,-,"$2,795,399",100%
546,Solstorm,"$2,792,237",-,-,"$2,792,237",100%
547,Ram Gopal Varma Ki Aag,"$2,791,337",-,-,"$2,791,337",100%
548,One Way,"$2,790,884",-,-,"$2,790,884",100%
549,Big City,"$2,786,776",-,-,"$2,786,776",100%
550,"My Daughter, My Angel","$2,780,005","$2,779,545",100%,$460,<0.1%
551,"Yobi, the Five Tailed Fox","$2,779,260",-,-,"$2,779,260",100%
552,Perfect Match...,"$2,769,029",-,-,"$2,769,029",100%
553,Smile,"$2,757,854",-,-,"$2,757,854",100%
554,When Did You Last See Your Father?,"$2,752,471","$1,077,273",39.1%,"$1,675,198",60.9%
555,Actresses,"$2,745,093",-,-,"$2,745,093",100%
556,Ben X,"$2,744,414","$1,601",<0.1%,"$2,742,813",99.9%
557,Traffic Signal,"$2,735,484",-,-,"$2,735,484",100%
558,XXY,"$2,728,869","$48,334",1.8%,"$2,680,535",98.2%
559,Kiss of Life,"$2,727,187",-,-,"$2,727,187",100%
560,Sukiyaki Western Django,"$2,725,258","$50,659",1.9%,"$2,674,599",98.1%
561,Teng Nong Khon Maha-Hia,"$2,707,183",-,-,"$2,707,183",100%
562,Pur week-end,"$2,667,674",-,-,"$2,667,674",100%
563,Nishabd,"$2,655,669","$73,819",2.8%,"$2,581,850",97.2%
564,Our Town,"$2,643,251",-,-,"$2,643,251",100%
565,Herr Bello,"$2,639,994",-,-,"$2,639,994",100%
566,2061: Un anno eccezionale,"$2,632,732",-,-,"$2,632,732",100%
567,Youth Without Youth,"$2,624,759","$244,397",9.3%,"$2,380,362",90.7%
568,Le premier cri,"$2,619,877",-,-,"$2,619,877",100%
569,Röllin sydän,"$2,611,658",-,-,"$2,611,658",100%
570,"Good Boy, Bad Boy","$2,602,490",-,-,"$2,602,490",100%
571,Switch,"$2,599,921",-,-,"$2,599,921",100%
572,The Air I Breathe,"$2,597,648","$25,775",1%,"$2,571,873",99%
573,City of Men,"$2,589,732","$325,131",12.6%,"$2,264,601",87.4%
574,I Viceré,"$2,584,556",-,-,"$2,584,556",100%
575,The Polar Express 2007 IMAX Release,"$2,574,903","$2,483,757",96.5%,"$91,146",3.5%
576,18-14,"$2,567,758",-,-,"$2,567,758",100%
577,Shakalaka Boom Boom,"$2,539,773",-,-,"$2,539,773",100%
578,Bunt,"$2,534,826",-,-,"$2,534,826",100%
579,The Last Gang,"$2,530,900",-,-,"$2,530,900",100%
580,The Evil Twin,"$2,514,682",-,-,"$2,514,682",100%
581,881,"$2,513,357",-,-,"$2,513,357",100%
582,Bus Lane,"$2,508,776",-,-,"$2,508,776",100%
583,Three for the Road,"$2,503,707",-,-,"$2,503,707",100%
584,Faut que ça danse!,"$2,479,633",-,-,"$2,479,633",100%
585,Vorne ist verdammt weit weg,"$2,478,515",-,-,"$2,478,515",100%
586,1944: The Final Defence,"$2,477,250",-,-,"$2,477,250",100%
587,Tuya's Marriage,"$2,476,766","$88,148",3.6%,"$2,388,618",96.4%
588,Just Another Love Story,"$2,460,360","$45,835",1.9%,"$2,414,525",98.1%
589,Catacombs,"$2,455,422",-,-,"$2,455,422",100%
590,Incorregibles,"$2,453,860",-,-,"$2,453,860",100%
591,Kung Fu Tootsie,"$2,447,579",-,-,"$2,447,579",100%
592,The Coffin,"$2,440,511",-,-,"$2,440,511",100%
593,In the Name of God,"$2,432,378",-,-,"$2,432,378",100%
594,I Want Candy,"$2,415,513",-,-,"$2,415,513",100%
595,Gone with the Woman,"$2,414,318",-,-,"$2,414,318",100%
596,The Marsh,"$2,408,452",$336,<0.1%,"$2,408,116",100%
597,Ponglang Amazing Theater,"$2,406,323",-,-,"$2,406,323",100%
598,Good Times,"$2,402,432",-,-,"$2,402,432",100%
